time,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,sunrise,sunset,shortwave_radiation_sum,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,et0_fao_evapotranspiration
['2022-06-07'],[18.7],[12.3],[17.9],[10.5],['2022-06-07T04:19'],['2022-06-07T20:55'],[17.96],[0.8],[0.8],[0.0],[5.0],[18.4],[37.4],[203],[2.9]
['2022-09-08'],[21.0],[15.5],[19.7],[14.5],['2022-09-08T06:00'],['2022-09-08T19:12'],[13.33],[5.6],[5.6],[0.0],[12.0],[18.7],[37.1],[241],[2.4]
['2022-05-20'],[19.5],[10.1],[18.3],[9.3],['2022-05-20T04:36'],['2022-05-20T20:34'],[10.2],[26.8],[26.8],[0.0],[10.0],[21.0],[51.1],[179],[1.76]
['2022-07-07'],[18.0],[14.9],[17.3],[12.9],['2022-07-07T04:27'],['2022-07-07T21:00'],[9.93],[1.6],[1.6],[0.0],[9.0],[25.2],[48.6],[137],[2.44]
['2022-06-09'],[19.3],[12.8],[18.2],[11.6],['2022-06-09T04:18'],['2022-06-09T20:57'],[23.35],[1.3],[1.3],[0.0],[5.0],[16.1],[37.1],[188],[3.76]
['2022-09-30'],[16.5],[4.2],[13.7],[1.5],['2022-09-30T06:36'],['2022-09-30T18:21'],[11.46],[0.5],[0.5],[0.0],[1.0],[26.7],[48.6],[248],[2.09]
['2022-03-23'],[18.4],[2.3],[16.3],[-1.0],['2022-03-23T06:32'],['2022-03-23T18:58'],[16.62],[0.0],[0.0],[0.0],[0.0],[10.0],[14.0],[21],[2.67]
['2022-06-16'],[23.6],[11.9],[24.1],[10.2],['2022-06-16T04:17'],['2022-06-16T21:01'],[27.76],[0.0],[0.0],[0.0],[0.0],[13.8],[24.1],[44],[5.04]
['2022-05-16'],[24.0],[14.6],[23.7],[12.3],['2022-05-16T04:42'],['2022-05-16T20:28'],[16.96],[3.6],[3.6],[0.0],[7.0],[23.1],[39.6],[226],[3.81]
['2022-11-18'],[10.5],[7.5],[7.9],[4.8],['2022-11-18T08:00'],['2022-11-18T16:47'],[3.1],[6.0],[6.0],[0.0],[12.0],[15.9],[27.0],[261],[0.46]
['2022-06-09'],[19.3],[12.8],[18.2],[11.6],['2022-06-09T04:18'],['2022-06-09T20:57'],[23.35],[1.3],[1.3],[0.0],[5.0],[16.1],[37.1],[188],[3.77]
['2022-06-28'],[23.3],[11.5],[23.0],[10.5],['2022-06-28T04:20'],['2022-06-28T21:03'],[23.61],[0.0],[0.0],[0.0],[0.0],[13.5],[25.2],[274],[4.38]
